Date,Year,Month Number,Month,Quarter,Week,Day,Day Name
06-02-2016 00:00,2016,2,February,Q1,6,6,Saturday
07-02-2016 00:00,2016,2,February,Q1,7,7,Sunday
08-02-2016 00:00,2016,2,February,Q1,7,8,Monday
09-02-2016 00:00,2016,2,February,Q1,7,9,Tuesday
10-02-2016 00:00,2016,2,February,Q1,7,10,Wednesday
11-02-2016 00:00,2016,2,February,Q1,7,11,Thursday
12-02-2016 00:00,2016,2,February,Q1,7,12,Friday
13-02-2016 00:00,2016,2,February,Q1,7,13,Saturday
14-02-2016 00:00,2016,2,February,Q1,8,14,Sunday
15-02-2016 00:00,2016,2,February,Q1,8,15,Monday
16-02-2016 00:00,2016,2,February,Q1,8,16,Tuesday
17-02-2016 00:00,2016,2,February,Q1,8,17,Wednesday
18-02-2016 00:00,2016,2,February,Q1,8,18,Thursday
19-02-2016 00:00,2016,2,February,Q1,8,19,Friday
20-02-2016 00:00,2016,2,February,Q1,8,20,Saturday
21-02-2016 00:00,2016,2,February,Q1,9,21,Sunday
22-02-2016 00:00,2016,2,February,Q1,9,22,Monday
23-02-2016 00:00,2016,2,February,Q1,9,23,Tuesday
24-02-2016 00:00,2016,2,February,Q1,9,24,Wednesday
25-02-2016 00:00,2016,2,February,Q1,9,25,Thursday
26-02-2016 00:00,2016,2,February,Q1,9,26,Friday
27-02-2016 00:00,2016,2,February,Q1,9,27,Saturday
28-02-2016 00:00,2016,2,February,Q1,10,28,Sunday
29-02-2016 00:00,2016,2,February,Q1,10,29,Monday
01-03-2016 00:00,2016,3,March,Q1,10,1,Tuesday
02-03-2016 00:00,2016,3,March,Q1,10,2,Wednesday
03-03-2016 00:00,2016,3,March,Q1,10,3,Thursday
04-03-2016 00:00,2016,3,March,Q1,10,4,Friday
05-03-2016 00:00,2016,3,March,Q1,10,5,Saturday
06-03-2016 00:00,2016,3,March,Q1,11,6,Sunday
07-03-2016 00:00,2016,3,March,Q1,11,7,Monday
08-03-2016 00:00,2016,3,March,Q1,11,8,Tuesday
09-03-2016 00:00,2016,3,March,Q1,11,9,Wednesday
